2	1	2011-05-25.15:00:00	49	261	116
5	2	2011-05-25.15:00:05	77	264	109
5	2	2011-05-25.15:00:09	79	256	102
6	3	2011-05-25.15:00:14	72	256	99
4	2	2011-05-25.15:00:19	72	261	96
2	1	2011-05-25.15:00:23	67	255	87
2	1	2011-05-25.15:00:28	69	255	87
1	0	2011-05-25.15:00:33	72	255	98
1	0	2011-05-25.15:00:37	66	255	96
1	0	2011-05-25.15:00:42	61	251	93
2	1	2011-05-25.15:00:47	56	256	86
5	1	2011-05-25.15:00:51	131	255	84
6	1	2011-05-25.15:00:56	121	247	86
1	0	2011-05-25.15:01:01	127	248	78
2	1	2011-05-25.15:01:05	117	260	81
4	1	2011-05-25.15:01:10	115	264	103
1	0	2011-05-25.15:01:15	114	264	103
2	1	2011-05-25.15:01:19	105	262	105
4	2	2011-05-25.15:01:24	105	259	97
6	3	2011-05-25.15:01:29	105	254	99
5	3	2011-05-25.15:01:33	96	251	96
2	1	2011-05-25.15:01:38	88	255	88
2	1	2011-05-25.15:01:43	89	254	85
1	0	2011-05-25.15:01:47	90	255	82
1	0	2011-05-25.15:01:52	83	247	80
1	0	2011-05-25.15:01:57	76	249	77
1	0	2011-05-25.15:02:01	70	257	77
1	0	2011-05-25.15:02:06	64	255	73
1	0	2011-05-25.15:02:11	67	253	67
1	0	2011-05-25.15:02:15	62	249	65
1	0	2011-05-25.15:02:20	65	257	79
1	0	2011-05-25.15:02:25	60	264	104
1	0	2011-05-25.15:02:29	63	259	102
1	0	2011-05-25.15:02:34	58	252	100
2	1	2011-05-25.15:02:39	58	249	89
2	1	2011-05-25.15:02:43	53	252	95
4	2	2011-05-25.15:02:48	73	244	92
6	3	2011-05-25.15:02:53	99	247	88
4	2	2011-05-25.15:02:57	99	244	88
2	1	2011-05-25.15:03:02	91	252	86
2	1	2011-05-25.15:03:07	84	250	85
2	1	2011-05-25.15:03:11	77	248	85
1	0	2011-05-25.15:03:16	79	251	80
1	0	2011-05-25.15:03:21	81	249	74
1	0	2011-05-25.15:03:25	74	254	85
1	0	2011-05-25.15:03:30	68	258	103
1	0	2011-05-25.15:03:35	63	258	103
1	0	2011-05-25.15:03:39	58	249	100
3	1	2011-05-25.15:03:44	53	254	106
1	0	2011-05-25.15:03:49	53	251	91
1	0	2011-05-25.15:03:53	49	254	85
1	0	2011-05-25.15:03:58	45	249	80
3	1	2011-05-25.15:04:03	41	259	86
3	1	2011-05-25.15:04:07	54	259	86
7	2	2011-05-25.15:04:12	50	254	83
6	3	2011-05-25.15:04:17	70	253	87
3	2	2011-05-25.15:04:21	64	253	87
2	1	2011-05-25.15:04:26	75	249	85
2	1	2011-05-25.15:04:30	77	249	81
1	0	2011-05-25.15:04:35	79	249	81
1	0	2011-05-25.15:04:40	72	257	81
1	0	2011-05-25.15:04:44	67	254	85
1	0	2011-05-25.15:04:49	61	252	85
1	0	2011-05-25.15:04:54	61	251	79
1	0	2011-05-25.15:04:58	56	252	83
1	0	2011-05-25.15:05:03	52	262	75
1	0	2011-05-25.15:05:08	48	257	78
1	0	2011-05-25.15:05:13	52	249	74
1	0	2011-05-25.15:05:17	48	253	69
2	1	2011-05-25.15:05:22	44	250	80
3	1	2011-05-25.15:05:27	40	256	97
4	2	2011-05-25.15:05:35	41	246	89
3	2	2011-05-25.15:05:40	38	247	88
2	1	2011-05-25.15:05:44	35	248	90
2	1	2011-05-25.15:05:49	35	246	79
1	0	2011-05-25.15:05:54	40	246	75
1	0	2011-05-25.15:05:58	37	243	75
2	0	2011-05-25.15:06:03	34	255	80
1	0	2011-05-25.15:06:08	31	256	88
1	0	2011-05-25.15:06:12	29	253	88
1	0	2011-05-25.15:06:17	26	251	88
1	0	2011-05-25.15:06:22	24	249	85
1	0	2011-05-25.15:06:26	22	248	82
1	0	2011-05-25.15:06:31	20	250	77
1	0	2011-05-25.15:06:36	19	247	75
1	0	2011-05-25.15:06:41	17	248	67
2	1	2011-05-25.15:06:45	16	257	94
4	2	2011-05-25.15:06:50	15	252	91
4	2	2011-05-25.15:06:55	13	248	91
4	2	2011-05-25.15:06:59	12	246	87
